284;218;2;30/05/2010;30/07/2010;;30/05/2010;;31/03/2013;"2";TRUE;FALSE;FALSE;
285;218;1;30/12/2010;30/07/2011;31/01/2013;;;31/03/2014;"3";TRUE;FALSE;FALSE;
286;36;3;30/01/2010;30/12/2010;;30/01/2010;30/12/2010;;"1";TRUE;FALSE;FALSE;
287;19;3;30/05/2010;30/12/2011;;30/03/2010;30/12/2011;;"2";TRUE;FALSE;FALSE;
291;221;11;30/07/2011;28/02/2012;;30/07/2011;28/02/2012;;"2";TRUE;FALSE;FALSE;
292;221;12;30/03/2012;30/05/2012;;30/03/2012;14/06/2012;;"1";TRUE;FALSE;FALSE;
293;221;1;30/09/2012;30/03/2014;;01/10/2012;;31/05/2014;"3";TRUE;FALSE;FALSE;
294;22;3;30/04/2010;30/06/2010;28/02/2010;28/02/2010;30/05/2010;30/05/2010;"1";TRUE;FALSE;FALSE;
295;204;1;30/05/2010;28/02/2013;10/03/2011;16/03/2011;;29/05/2014;"3";TRUE;FALSE;FALSE;
296;204;2;30/12/2009;30/12/2012;;30/12/2009;29/11/2013;30/11/2013;"1";TRUE;FALSE;FALSE;
297;204;4;31/05/2004;30/08/2012;;31/05/2004;;31/12/2013;"2";TRUE;FALSE;FALSE;
306;266;1;31/12/2012;30/05/2013;;;;;"1";TRUE;FALSE;FALSE;
307;148;9;04/11/2011;16/12/2013;;04/11/2011;;;"3";TRUE;FALSE;FALSE;
308;4;9;01/09/2011;30/09/2012;;01/09/2011;14/12/2012;;"3";TRUE;FALSE;FALSE;
309;267;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
310;268;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
311;269;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
312;270;50;31/12/2012;31/05/2013;29/05/2014;;;29/08/2014;"1";TRUE;FALSE;FALSE;
314;273;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
315;274;50;01/02/2013;20/05/2013;;;02/04/2014;;"1";TRUE;FALSE;FALSE;
316;275;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
317;276;1;14/10/2013;30/05/2014;;;;;"2";TRUE;FALSE;FALSE;
318;277;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
319;278;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
321;280;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
322;281;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
323;282;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
326;285;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
327;286;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
330;298;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
332;308;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
333;314;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
334;315;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
335;316;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
336;317;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
342;323;1;31/12/2012;31/05/2013;;;;;"1";TRUE;FALSE;FALSE;
343;180;1;19/11/2010;30/04/2014;;;;31/12/2014;"1";TRUE;FALSE;FALSE;
344;1;1;21/12/2010;20/12/2012;;21/12/2010;28/12/2012;;"8";TRUE;FALSE;FALSE;
350;162;1;30/09/2010;30/03/2012;30/07/2013;;;28/02/2014;"6";TRUE;FALSE;FALSE;
351;162;1;30/09/2010;30/09/2012;31/12/2012;27/12/2012;;27/12/2013;"7";TRUE;FALSE;FALSE;
352;162;1;30/10/2010;30/06/2012;28/02/2013;01/03/2013;;28/02/2014;"8";TRUE;FALSE;FALSE;
357;336;51;01/05/2012;01/02/2013;;;;;"1";TRUE;FALSE;FALSE;
358;337;51;01/05/2012;01/02/2013;;04/04/2014;04/04/2014;;"1";TRUE;FALSE;FALSE;
360;338;51;01/05/2012;01/02/2013;;;;;"1";TRUE;FALSE;FALSE;
361;339;51;01/05/2012;01/02/2013;;;;;"1";TRUE;FALSE;FALSE;
